species_common_name,species_code,scientific_name
Eastern Pygmy Marmoset,CNIV,Cebuella niveiventris
Eastern Red Bat,LASBOR,Lasiurus borealis
Eastern Red Bat / Little Brown Bat,LASBORMYOLUC,Lasiurus / Myotis borealis / lucifugus
Eastern Red Bat / Seminole Bat,LASBORLASSEM,Lasiurus borealis / seminolus
Eastern Red Bat / Tricoloured Bat,LASBORPERSUB,Lasiurus / Perimyotis borealis / subflavus
Eastern Red-rumped Swallow,rerswa,Cecropis daurica
Eastern Rock Nuthatch,SITTEP,Sitta tephronota
Eastern Rosella,easros1,Platycercus eximius
Eastern Screech-owl,EASO,Megascops asio
Eastern Short-horned Lizard,ESHL,Phrynosoma hernandezi
Eastern Shriketit,cresht1,Falcunculus frontatus
Eastern Small-footed Myotis,MYOLEI,Myotis leibii
Eastern Snake-necked Turtle,CHELON,Chelodina longicollis
Eastern Spadefoot toad,EASPTO,Scaphiopus holbrookii
Eastern Spinebill,easspi1,Acanthorhynchus tenuirostris
Eastern Spot-billed Duck,ESBD,Anas zonorhyncha
Eastern Spotted Skunk,SPIPUT,Spilogale putorius
Eastern Striolated Puffbird,strpuf1,Nystalus striolatus
Eastern Striped Skink,CTEROB,Ctenotus robustus
Eastern Towhee,EATO,Pipilo erythrophthalmus
Eastern Tur,CAPCYL,Capra cylindricornis
Eastern Violet-backed Sunbird,kvbsun1,Anthreptes orientalis
Eastern Water Dragon,INTLES,Intellagama lesueurii
Eastern Water Shrew,SORALB,Sorex albibarbis
Eastern Whipbird,easwhi1,Psophodes olivaceus
Eastern Whip-poor-will,EWPW,Antrostomus vociferus
Eastern White-crowned Sparrow,EWCS,Zonotrichia leucophrys leucophrys
Eastern Wolf,CANLYC,Canis lycaon
Eastern Wood-Pewee,EAWP,Contopus virens
Eastern Woodrat,NEOFLO,Neotoma floridana
Eastern Yellow-bellied Racer,RACE,Coluber constrictor flaviventris
Eastern Yellow-billed Barbet,yebbar5,Trachylaemus purpuratus
Eastern Yellow Robin,yelrob1,Eopsaltria australis
Eastern Yellow Wagtail,EYWA,Motacilla tschutschensis
East European Vole,MICLEV,Microtus levis
Echo Parakeet,PSIEQU,Psittacula eques
Ecuadorean Small-eared Shrew,CRYMON,Cryptotis montivaga
Ecuadorian Ground Dove,ecgdov1,Columbina buckleyi
Ecuadorian Piculet,ecupic1,Picumnus sclateri
Ecuadorian Piedtail,ecupie1,Phlogophilus hemileucurus
Ecuadorian Thrush,ecuthr1,Turdus maculirostris
Ecuadorian Trogon,bkttro2,Trogon mesurus
Ecuadorian Tyrannulet,ecutyr1,Phylloscartes gualaquizae
Edward’s long-clawed mouse,NOTEDW,Notiomys edwardsii
Egyptian Goose,EGGO,Alopochen aegyptiaca
Egyptian Vulture,NEOPER,Neophron percnopterus
Eira Species,EIRNUL,
Elaphodus Species,4121,
Elaphurus Species,4123,
El Carrizo Deer Mouse,PEROCH,Peromyscus ochraventer
Eld's Deer,RUCELD,Rucervus eldii
Elegant Crescentchest,elecre1,Melanopareia elegans
Elegant Crested-Tinamou,EUDELE,Eudromia elegans
Elegant Euphonia,ELEU,Chlorophonia elegantissima
Elegant Fat-tailed Mouse Opossum,THYELE,Thylamys elegans
Elegant Imperial Pigeon,elipig1,Ducula concinna
Elegant Pitta,elepit7,Pitta elegans
Elegant Quail,ELQU,Callipepla douglasii
Elegant Tern,ELTE,Thalasseus elegans
Elegant Tit,eletit2,Periparus elegans
Elegant Trogon,ELTR,Trogon elegans
Elegant Woodcreeper,elewoo1,Xiphorhynchus elegans
Eleonora's Falcon,FALELE,Falco eleonorae
Elfin-woods Warbler,EWWA,Setophaga angelae
Elf Owl,ELOW,Micrathene whitneyi
Elgaria Species,ELGNUL,
Elk (wapiti),ELKK,Cervus canadensis
Elliot's Laughingthrush,elllau1,Trochalopteron elliotii
Elliot's Short-tailed Shrew,BLAHYL,Blarina hylophaga
El Oro Parakeet,elopar1,Pyrrhura orcesi
El Oro Tapaculo,ecutap1,Scytalopus robbinsi
Emei Leaf Warbler,emlwar1,Phylloscopus emeiensis
Emerald-chinned Hummingbird,ECHU,Abeillia abeillei
Emerald-spotted Wood Dove,eswdov1,Turtur chalcospilos
Emerald Tanager,EMTA,Tangara florida
Emilia's Gracile Opossum,GRAEMI,Gracilinanus emiliae
Emilia's Short-tailed Opossum,MONEMI,Monodelphis emiliae
Emperor Fairywren,empfai1,Malurus cyanocephalus
Emperor Goose,EMGO,Anser canagicus
Emperor Tamarin,SIMP,Saguinus imperator
Ender's Small-eared Shrew,CRYEND,Cryptotis endersi
Engine,ENGINE,
Enhydra Species,ENHNUL,
Environmental,ENVIRO,
Epaulet Oriole,epaori1,Icterus cayanensis
Equatorial Antpitta,GRASAT,Grallaria saturata
Equatorial Greytail,equgra1,Xenerpestes singularis
Equidae Family,3987,
Erckel's Francolin,ERFR,Francolinus erckelii
Erckel's Spurfowl,PTEERC,Pternistis erckelii
Erignathus Species,ERINUL,
Ermine,MUSERM,Mustela erminea
Eschrichtiidae Family,4268,
Eschrichtius Species,ESCNUL,
Eskimo Curlew,ESCU,Numenius borealis
Esmeraldas Antbird,esmant1,Sipia nigricauda
Ethiopian Boubou,trobou2,Laniarius aethiopicus
Ethiopian Hare,LEPFAG,Lepus fagani
Ethiopian Highland Hare,LEPSTA,Lepus starcki
Ethiopian Oriole,dahori1,Oriolus monacha
Ethiopian Wolf,CANSIM,Canis simensis
Eubalaena Species,EUBNUL,
Eudorcas Species,EUDNUL,
Euler's Flycatcher,EUFL,Lathrotriccus euleri
Eumetopias Species,EUMNUL,
Eurasian Blackbird,EUBB,Turdus merula
Eurasian Blackcap,EUBC,Sylvia atricapilla
Eurasian Blue Tit,blutit,Cyanistes caeruleus
Eurasian Bullfinch,EUBU,Pyrrhula pyrrhula
Eurasian Collared-Dove,EUCD,Streptopelia decaocto
Eurasian Coot,EUCO,Fulica atra
Eurasian Crag-Martin,PTYRUP,Ptyonoprogne rupestris
Eurasian Curlew,EUCU,Numenius arquata
Eurasian Dotterel,EUDO,Eudromias morinellus
Eurasian Eagle-Owl,BUBBUB,Bubo bubo
Eurasian Golden Oriole,ORIORI,Oriolus oriolus
Eurasian Green Woodpecker,PICVIR,Picus viridis
Eurasian Griffon,GYPFUL,Gyps fulvus
Eurasian Hobby,EHOB,Falco subbuteo
Eurasian Hoopoe,EHOO,Upupa epops
Eurasian Jackdaw,EUJA,Corvus monedula
Eurasian Jay,GARGLA,Garrulus glandarius
Eurasian Kestrel,EUKE,Falco tinnunculus
Eurasian Least Shrew,3843,Sorex minutissimus
Eurasian Magpie,PICPIC,Pica pica
Eurasian Nightjar,CAPEUR,Caprimulgus europaeus
Eurasian Nutcracker,NUCCAR,Nucifraga caryocatactes
Eurasian Nuthatch,SITEUR,Sitta europaea
Eurasian Oystercatcher,EUOY,Haematopus ostralegus
Eurasian Penduline-Tit,REMPEN,Remiz pendulinus
Eurasian Pygmy-Owl,GLAPAS,Glaucidium passerinum
Eurasian Pygmy Shrew,3883,Sorex minutus
Eurasian Red Squirrel,SCIVUL,Sciurus vulgaris
Eurasian Reed-Warbler,ACRSCI,Acrocephalus scirpaceus
Eurasian Scops-Owl,OTUSCO,Otus scops
Eurasian Siskin,EUSI,Spinus spinus
Eurasian Skylark,EUSK,Alauda arvensis
Eurasian Sparrowhawk,EURS2,Accipiter nisus
Eurasian Spoonbill,EURS,Platalea leucorodia
Eurasian Thick-knee,BUROED,Burhinus oedicnemus
Eurasian Three-toed Woodpecker,PICTRI,Picoides tridactylus
Eurasian Treecreeper,CERFAM,Certhia familiaris
Eurasian Tree Sparrow,ETSP,Passer montanus
Eurasian Wigeon,EUWI,Mareca penelope
Eurasian Woodcock,EUWO,Scolopax rusticola
Eurasian Wren,4734,Troglodytes troglodytes
Eurasian Wren (Fair Isle),4735,Troglodytes troglodytes fridariensis
Eurasian Wryneck,EUWR,Jynx torquilla
European Badger,EUBA,Meles meles
European Bee-eater,MERAPI,Merops apiaster
European Bison,BISBON,Bison bonasus
European Golden-Plover,EUGP,Pluvialis apricaria
European Goldfinch,EUGO,Carduelis carduelis
European Greenfinch,eurgre1,Chloris chloris
European Hare,LEPEUR,Lepus europaeus
European Hedgehog,EREU,Erinaceus europaeus
European Honey-buzzard,PERAPI,Pernis apivorus
European Pied Flycatcher,FICHYP,Ficedula hypoleuca
European pine marten,MAMA,Martes martes
European Pine Vole,MICSUB,Microtus subterraneus
European Rabbit,ORYCUN,Oryctolagus cuniculus
European Robin,EURO,Erithacus rubecula
European Roe Deer,CAPCAP,Capreolus capreolus
European Roller,CORGAR,Coracias garrulus
European Serin,SERSER,Serinus serinus
European Starling,EUST,Sturnus vulgaris
European Stonechat,stonec4,Saxicola rubicola
European Storm-Petrel,EUSP,Hydrobates pelagicus
European Turtle-Dove,EUTD,Streptopelia turtur
Eva's Desert Mouse,PEREVA,Peromyscus eva
Evening Bat,NYCHUM,Nycticeius humeralis
Evening Grosbeak,EVGR,Coccothraustes vespertinus
Even-toothed Shrew,SORISO,Sorex isodon
Everett's White-eye,ZOSEVE,Zosterops everetti
Evergreen Forest Warbler,camscw1,Bradypterus lopezi
Evoron Vole,MICEVO,Microtus evoronensis
Eyebrowed Thrush,EYTH,Turdus obscurus
Eyebrowed Wren-Babbler,eywbab1,Napothera epilepidota
Eye-ringed Flatbill,ERFL,Rhynchocyclus brevirostris
Eye-ringed Thistletail,eyrthi1,Asthenes palpebralis
Eye-ringed Tody-Tyrant,erttyr1,Hemitriccus orbitatus
Fairy Flycatcher,faifly1,Stenostira scita
Fairy Gerygone,faiger1,Gerygone palpebrosa
Fairy Martin,faimar2,Petrochelidon ariel
Fairy Pitta,faipit1,Pitta nympha
Falcated Duck,FADU,Mareca falcata
Falcated Wren-Babbler,fawbab1,Ptilocichla falcata
Falcons and allies,81,
Fall Field Cricket,GRYPEN,Gryllus pennsylvanicus
False Killer Whale,PSECRA,Pseudorca crassidens
false Robust Conehead,NEOBIV,Neoconocephalus bivocatus
Familiar Chat,OENFAM,Oenanthe familiaris
Fan-tailed Cuckoo,fatcuc1,Cacomantis flabelliformis
Fan-tailed Gerygone,fatger1,Gerygone flavolateralis
Fan-tailed Raven,fatrav1,Corvus rhipidurus
Fan-tailed Warbler,FTWA,Basileuterus lachrymosus
Far Eastern Curlew,FECU,Numenius madagascariensis
Fasciated Antshrike,FAAN,Cymbilaimus lineatus
Fasciated Tiger-Heron,FTHE,Tigrisoma fasciatum
Fasciated Wren,faswre1,Campylorhynchus fasciatus
Fast-calling Tree Cricket,OECCEL,Oecanthus celerinictus
Fawn-breasted Brilliant,fabbri1,Heliodoxa rubinoides
Fawn-breasted Tanager,fabtan1,Pipraeidea melanonota
Fawn-breasted Waxbill,ESTPAL,Estrilda paludicola
Fawn-breasted Wren,fabwre1,Cantorchilus guarayanus
Fawn-colored Lark,faclar8,Calendulauda africanoides
Fawn-throated Foliage-gleaner,FTFG,Automolus cervinigularis
Fea's Muntjac,MUNFEA,Muntiacus feae
Fea's Petrel,FEPE,Pterodroma feae
Felidae Family,4802,
Felid spp.,FELSPP,
Fennec Fox,VULZER,Vulpes zerda
Feral Pig,FEPI,Sus scrofa
Feresa Species,FERNUL,
Fernandina's Flicker,FEFL,Colaptes fernandinae
Fernwren,fernwr1,Oreoscopus gutturalis
Ferruginous Antbird,ferant1,Drymophila ferruginea
Ferruginous Babbler,ferbab1,Pellorneum bicolor
Ferruginous-backed Antbird,febant1,Myrmoderus ferrugineus
Ferruginous Duck,AYTNYR,Aythya nyroca
Ferruginous Flycatcher,ferfly1,Muscicapa ferruginea
Ferruginous Hawk,FEHA,Buteo regalis
Ferruginous Pygmy-Owl,FEPO,Glaucidium brasilianum
Festive Amazon,fespar1,Amazona festiva
Fieldfare,FIEL,Turdus pilaris
Field Sparrow,FISP,Spizella pusilla
Field Vole,MICAGR,Microtus agrestis
Fiery-billed Aracari,FBAR,Pteroglossus frantzii
Fiery-capped Manakin,ficman1,Machaeropterus pyrocephalus
Fiery-necked Nightjar,finnig1,Caprimulgus pectoralis
Fiery Squirrel,SCIFLA,Sciurus flammifer
Fiery-throated Hummingbird,FTHU,Panterpe insignis
Fiery Topaz,fietop1,Topaza pyra
Fiji Bush Warbler,fibwar1,Horornis ruficapilla
Fiji Shrikebill,fijshr1,Clytorhynchus vitiensis
Finsch's Bulbul,ALOFIN,Alophoixus finschii
Finsch's Euphonia,fineup1,Euphonia finschi
Finsch's Pygmy Parrot,fippar1,Micropsitta finschii
Finsch's Rufous Thrush,fifthr1,Stizorhina finschi
Fin Whale,BALPHY,Balaenoptera physalus
Fire-breasted Flowerpecker,fibflo1,Dicaeum ignipectus
Fire-crested Alethe,ficale2,Alethe castanea
Fire-eyed Diucon,PYRPYP,Pyrope pyrope
Fire-eyed Diucon,PYPPYR,Pyrope pyrope
Fire-eyed Diucon,PYRPYO,Pyrope pyrope
Fire-fronted Serin,SERPUS,Serinus pusillus
Fire-tailed Sunbird,fitsun1,Aethopyga ignicauda
Firethroat,fireth1,Calliope pectardens
Fire-tufted Barbet,fitbar1,Psilopogon pyrolophus
Firewood-gatherer,firgat1,Anumbius annumbi
Fireworks,FIREWK,
Fiscal Flycatcher,fisfly1,Sigelus silens
Fischer's Greenbul,PHYFIS,Phyllastrephus fischeri
Fischer's Lovebird,fislov1,Agapornis fischeri
Fischer's Turaco,TAUFIS,Tauraco fischeri
Fish Crow,FICR,Corvus ossifragus
Fisher,FISH,Martes pennanti
Five-colored Barbet,ficbar1,Capito quinticolor
Five-striped Sparrow,FSSP,Amphisizopsis quinquestriata
Flame-breasted Sunbird,flbsun2,Cinnyris solaris
Flame-colored Tanager,FCTA,Piranga bidentata
Flamecrest,flamec1,Regulus goodfellowi
Flame-crested Tanager,LORCRI,Loriotus cristatus
Flame-crowned Manakin,HETLIN,Heterocercus linteatus
Flame-faced Tanager,flftan1,Tangara parzudakii
Flame-fronted Barbet,flfbar1,Psilopogon armillaris
Flame Robin,flarob1,Petroica phoenicea
Flame-rumped Tanager,FRTA,Ramphocelus flammigerus
Flame-throated Bulbul,bkcbul1,Rubigula gularis
Flame-throated Warbler,FTHW,Oreothlypis gutturalis
Flame-winged Parakeet,brbpar2,Pyrrhura calliptera
Flammulated Bamboo Tyrant,flapyt1,Hemitriccus flammulatus
Flammulated Flycatcher,FLFL,Deltarhynchus flammulatus
Flammulated Owl,FLOW,Psiloscops flammeolus
Flammulated Treehunter,flatre1,Thripadectes flammulatus
Flappet Lark,flalar1,Amirafra rufocinnamomea
Flat-billed Vireo,FBVI,Vireo nanus
Flat-skulled Shrew,SORROB,Sorex roboratus
Flavescent Bulbul,flabul1,Pycnonotus flavescens
Flavescent Flycatcher,flafly2,Myiophobus flavicans
Flavescent Warbler,flawar1,Myiothlypis flaveola
Flesh-footed Shearwater,FFSH,Ardenna carneipes
Flores Crow,flocro1,Corvus florensis
Florida Bonneted Bat,EUMFLO,Eumops floridanus
Florida Grasshopper Sparrow,FGSP,Ammodramus savannarum floridanus
Florida Scrub-Jay,FLSJ,Aphelocoma coerulescens
Fluffy-backed Tit-Babbler,fbtbab1,Macronus ptilosus
Flutist Wren,fluwre1,Microcerculus ustulatus
Flying Steamerduck,TACPAT,Tachyeres patachonicus
Fog Shrew,SORSON,Sorex sonomae
Foothill Elaenia,fooela1,Myiopagis olallai
Foothill Schiffornis,thlsch8,Schiffornis aenea
Foothill Screech Owl,foosco1,Megascops roraimae
Foothill Stipplethroat,fooant1,Epinecrophylla spodionota
Forest Alligator Lizard,4445,Elgaria multicarinata multicarinata
Forest Canary,forcan1,Crithagra scotops
Forest Elaenia,FOEL,Myiopagis gaimardii
Forest Kingfisher,forkin1,Todiramphus macleayii
Forest Owlet,forowl1,Athene blewitti
Forest Raven,forrav1,Corvus tasmanicus
Forest Rock Thrush,forrot2,Monticola sharpei
Forest sharp-tailed Snake,CONLON,Contia longicauda
Forest Thrush,FOTH,Turdus lherminieri
Forest Wagtail,forwag1,Dendronanthus indicus
Fork-tailed Bush Katydid,SCUFUR,Scudderia furcata
Fork-tailed Drongo,fotdro5,Dicrurus adsimilis
Fork-tailed Drongo-Cuckoo,asidrc2,Surniculus dicruroides
Fork-tailed Flycatcher,FTFL,Tyrannus savana
Fork-tailed Palm Swift,ftpswi1,Tachornis squamata
Fork-tailed Storm-Petrel,FTSP,Hydrobates furcata
Fork-tailed Sunbird,fotsun1,Aethopyga christinae
Fork-tailed Swift,FTSW,Apus pacificus
Fork-tailed Tody-Tyrant,fotpyt1,Hemitriccus furcatus
Fork-tailed Woodnymph,fotwoo1,Thalurania furcata
Formosan Serow,CAPSWI,Capricornis swinhoei
Forster's Tern,FOTE,Sterna forsteri
Four-horned Antelope,TETQUA,Tetracerus quadricornis
Four-spotted Tree Cricket,OECQUA,Oecanthus quadripunctatus
Fowler's Toad,FOTO,Anaxyrus fowleri
Foxes,25,
Fox Sparrow,FOSP,Passerella iliaca
Fox Squirrel,SCINIG,Sciurus niger
Franklin's Ground Squirrel,FGSQ,Spermophilus franklinii
Franklin's Gull,FRGU,Leucophaeus pipixcan
Fraser's Dolphin,LAGHOS,Lagenodelphis hosei
Fraser's Forest Flycatcher,afffly1,Fraseria ocreata
Fraser's Rufous Thrush,rufthr1,Stizorhina fraseri
Freckle-breasted Thornbird,frbtho1,Phacellodomus striaticollis
Freckle-breasted Woodpecker,frbwoo1,Dendrocopos analis
Freckled Nightjar,frenig1,Caprimulgus tristigma
Fresno Kangaroo Rat,DIPNIT,Dipodomys nitratoides
Friendly Fantail,RHIALB,Rhipidura albolimbata
Frilled Monarch,frimon1,Arses telescopthalmus
Fringe-backed Fire-eye,fbfeye1,Pyriglena atra
Fringed Bat,MYOTHY,Myotis thysanodes
Fuertes's Parrot,inwpar1,Hapalopsittaca fuertesi
Fuerteventura Stonechat,SAXDAC,Saxicola dacotiae
Fülleborn's Boubou,fuebou1,Laniarius fuelleborni
Fülleborn's Longclaw,MACFUE,Macronyx fuelleborni
Fulvous Antshrike,fulant1,Frederickena fulva
Fulvous-bellied Climbing Rat,TYLFUL,Tylomys fulviventer
Fulvous-breasted Woodpecker,fubwoo2,Dendrocopos macei
Fulvous-chested Jungle Flycatcher,fucjuf1,Cyornis olivaceus
Fulvous-crested Tanager,fuctan1,Tachyphonus surinamus
Fulvous-crowned Scrub Tyrant,tacpyt1,Euscarthmus meloryphus
Fulvous-faced Scrub-Tyrant,EUSFUL,Euscarthmus fulviceps
Fulvous Harvest Mouse,REIFUL,Reithrodontomys fulvescens
Fulvous-headed Brushfinch,fhbfin1,Atlapetes fulviceps
Fulvous Owl,FUOW,Strix fulvescens
Fulvous Shrike-Tanager,fustan1,Lanio fulvus
Fulvous-vented Euphonia,FVEU,Euphonia fulvicrissa
Fulvous Whistling-Duck,FUWD,Dendrocygna bicolor
Fulvous Wren,CINFUL,Cinnycerthia fulva
Fuscous Flycatcher,fusfly1,Cnemotriccus fuscatus
Fuscous Honeyeater,fushon1,Ptilotula fusca
Gabar Goshawk,gabgos2,Micronisus gabar
Gadwall,GADW,Mareca strepera
Galah,galah,Eolophus roseicapilla
Galápagos Fur Seal,ARCGAL,Arctocephalus galapagoensis
Galapagos Petrel,GAPE,Pterodroma phaeopygia
Galápagos Sea Lion,ZALWOL,Zalophus wollebaeki
Galapagos Shearwater,GASH,Puffinus subalaris
Galidictis Species,GALNUL,
Gambel's Quail,GAQU,Callipepla gambelii
Gang-gang Cockatoo,gagcoc1,Callocephalon fimbriatum
Gansu Leaf Warbler,ganlew1,Phylloscopus kansuensis
Gansu Shrew,SORCAN,Sorex cansulus
Garden Emerald,GAEM,Chlorostilbon assimilis
Garden Sunbird,olbsun31,Cinnyris jugularis
Garden Warbler,SYLBOR,Sylvia borin
Garganey,GARG,Spatula querquedula
Garnet Pitta,garpit1,Erythropitta granatina
Garnet-throated Hummingbird,GATH,Lamprolaima rhami
Gartered Trogon,GATR,Trogon caligatus
Gaumer's Spiny Pocket Mouse,HETGAU,Heteromys gaumeri
Gaur,BOSGAU,Bos gaurus
Gazella Species,GAZNUL,
Gekkonidae Family,4482,
Gemsbok,ORYGAZ,Oryx gazella
Gentoo Penguin,genpen1,Pygoscelis papua
Geocapromys Species,3150,Geocapromys 
Geoffroy's Cat,LEOGEO,Leopardus geoffroyi
Geoffroy's Daggerbill,webhum1,Schistes geoffroyi
Geomys Species,3160,Geomys 
Gerenuk,LITWAL,Litocranius walleri
Germain's Peacock-Pheasant,gepphe1,Polyplectron germaini
Gervais' Beaked Whale,MESEUR,Mesoplodon europaeus
Giant Ameiva,AMEAME,Ameiva ameiva
Giant Anteater,MTRI,Myrmecophaga tridactyla
Giant Antpitta,giaant1,Grallaria gigantea
Giant Antshrike,giaant2,Batara cinerea
Giant Armadillo,PMAX,Priodontes maximus
Giant Conebill,giacon1,Conirostrum binghami
Giant Coot,giacoo1,Fulica gigantea
Giant Coua,giacou1,Coua gigas
Giant Cowbird,GICO,Molothrus oryzivorus
Giant Desert Hairy Scorpion,HADARI,Hadrurus arizonensis
Giant Eland,TRADER,Tragelaphus derbianus
Giant Gartersnake,THAGIG,Thamnophis gigas
Giant Hummingbird,PATGIG,Patagona gigas
Giant Kangaroo Rat,DIPING,Dipodomys ingens
Giant Kingbird,GIKI,Tyrannus cubensis
Giant Kingfisher,MEGMAX,Megaceryle maxima
Giant Land Tortoise Species,CHENUL,
Giant Laughingthrush,gialau1,Ianthocincla maxima
Giant Legless Skink,ACOPLU,Acontias plumbeus
Giant Nuthatch,gianut1,Sitta magna
Giant Pitta,giapit1,Hydrornis caeruleus
Giant Pocket Gopher,ORTGRA,Orthogeomys grandis
Giant River Otter,PBRA,Pteronura brasiliensis
Giant Snipe,giasni1,Gallinago undulata
Giant Wood Rail,giwrai1,Aramides ypecaha
Giant Wren,GIWR,Campylorhynchus chiapensis
Gila Monster,HELSUS,Heloderma suspectum
Gila Woodpecker,GIWO,Melanerpes uropygialis
Gilbert's Honeyeater,whnhon3,Melithreptus chloropsis
Gilbert's skink,4495,Plestiodon gilberti
Gilbert's Whistler,gilwhi1,Pachycephala inornata
Gilded Barbet,gilbar1,Capito auratus
Gilded Flicker,GIFL,Colaptes chrysoides
Gilded Sapphire,gilhum1,Hylocharis chrysura
Gilt-edged Tanager,gietan1,Tangara cyanoventris
Ginkgo-toothed Beaked Whale,MESGIN,Mesoplodon ginkgodens
Glacier Bay Water Shrew,SORALA,Sorex alaskanus
Glaucomys Species,3163,Glaucomys 
Glaucous-blue Grosbeak,glbgro1,Cyanoloxia glaucocaerulea
Glaucous Gull,GLGU,Larus hyperboreus
Glaucous-winged Gull,GWGU,Larus glaucescens
Gleaning Deer Mouse,PERSPI,Peromyscus spicilegus
Glironia Species,GLINUL,
Glistening-green Tanager,glgtan1,Chlorochrysa phoenicotis
Glittering-bellied Emerald,glbeme1,Chlorostilbon lucidus
Glittering-throated Emerald,CHIFIM,Chionomesa fimbriata
Globicephala Species,GLONUL,
Glossy Antshrike,gloant1,Sakesphorus luctuosus
Glossy-backed Becard,PACSUR,Pachyramphus surinamus
Glossy Black Cockatoo,glbcoc1,Calyptorhynchus lathami
Glossy-black Thrush,glbthr1,Turdus serranus
Glossy Flowerpiercer,gloflo1,Diglossa lafresnayii
Glossy Ibis,GLIB,Plegadis falcinellus
Glow-throated Hummingbird,GLTH,Selasphorus ardens
Godlewski's Bunting,godbun1,Emberiza godlewskii
Goeldi's Antbird,goeant1,Akletos goeldii
Goeldi's Monkey,CGOE,Callimico goeldii
Goeldi's Spiny Rat,PROGOE,Proechimys goeldii
Goitered Gazelle,GAZSUB,Gazella subgutturosa
Goldcrest,4717,Regulus regulus
Goldcrest (Sao Miguel),4719,Regulus regulus azoricus
Goldcrest (Western Azores),4718,Regulus regulus inermis
Golden Babbler,golbab1,Cyanoderma chrysaeum
Golden-backed Weaver,PLOJAC,Ploceus jacksoni
Golden-bellied Flycatcher,GBFL,Myiodynastes hemichrysus
Golden-bellied Gerygone,gobger1,Gerygone sulphurea
Golden-billed Saltator,gobsal1,Saltator aurantiirostris
Golden Bowerbird,golbow1,Prionodura newtoniana
Golden-breasted Bunting,gobbun1,Emberiza flaviventris
Golden-breasted Fruiteater,gobfru1,Pipreola aureopectus
Golden-breasted Fulvetta,gobful1,Lioparus chrysotis
Golden-browed Chat-Tyrant,gobcht1,Silvicultrix pulchella
Golden-browed Chlorophonia,GBCH,Chlorophonia callophrys
Golden-browed Warbler,GBWA,Basileuterus belli
Golden Bush Robin,gobrob1,Tarsiger chrysaeus
Golden-capped Parakeet,gocpar2,Aratinga auricapillus
Golden-cheeked Warbler,GCWA,Setophaga chrysoparia
Golden-cheeked Woodpecker,GCHW,Melanerpes chrysogenys
Golden-chevroned Tanager,goctan2,Thraupis ornata
Golden-collared Macaw,yecmac,Primolius auricollis
Golden-collared Manakin,GCMA,Manacus vitellinus
Golden-collared Toucanet,goctou1,Selenidera reinwardtii
Golden-collared Woodpecker,gocwoo2,Veniliornis cassini
Golden-crowned Emerald,GCEM,Chlorostilbon auriceps
Golden-crowned Flycatcher,GOCF,Myiodynastes chrysocephalus
Golden-crowned Kinglet,GCKI,Regulus satrapa
Golden-crowned Spadebill,GCRS,Platyrinchus coronatus
Golden-crowned Sparrow,GCSP,Zonotrichia atricapilla
Golden-crowned Tanager,goctan4,Iridosornis rufivertex
Golden-crowned Warbler,GCRW,Basileuterus culicivorus
Golden Eagle,GOEA,Aquila chrysaetos
Golden-eyed Flowerpiercer,debflo1,Diglossa glauca
Goldenface,dwawhi1,Pachycare flavogriseum
